order_id,trader_id,account_id,symbol,exchange,side,quantity,price,event_type,event_time
L-1001,T-4821,A-771,HDFCBANK,NSE,BUY,52000,1550.10,NEW,2026-06-06T10:00:00.000Z
L-1002,T-4821,A-771,HDFCBANK,NSE,BUY,50000,1550.00,NEW,2026-06-06T10:00:00.080Z
L-1003,T-4821,A-771,HDFCBANK,NSE,BUY,49000,1549.90,NEW,2026-06-06T10:00:00.150Z
L-1004,T-4821,A-771,HDFCBANK,NSE,BUY,51000,1549.80,NEW,2026-06-06T10:00:00.220Z
L-1005,T-4821,A-771,HDFCBANK,NSE,BUY,53000,1549.70,NEW,2026-06-06T10:00:00.300Z
L-1006,T-4821,A-771,HDFCBANK,NSE,BUY,50000,1549.60,NEW,2026-06-06T10:00:00.380Z
L-1007,T-4821,A-771,HDFCBANK,NSE,BUY,54000,1549.50,NEW,2026-06-06T10:00:00.450Z
L-1008,T-4821,A-771,HDFCBANK,NSE,BUY,52000,1549.40,NEW,2026-06-06T10:00:00.520Z
L-1009,T-4821,A-771,HDFCBANK,NSE,BUY,51000,1549.30,NEW,2026-06-06T10:00:00.600Z
L-1010,T-4821,A-771,HDFCBANK,NSE,BUY,50500,1549.20,NEW,2026-06-06T10:00:00.680Z
L-1001,T-4821,A-771,HDFCBANK,NSE,BUY,52000,1550.10,CANCEL,2026-06-06T10:00:00.520Z
L-1002,T-4821,A-771,HDFCBANK,NSE,BUY,50000,1550.00,CANCEL,2026-06-06T10:00:00.620Z
L-1003,T-4821,A-771,HDFCBANK,NSE,BUY,49000,1549.90,CANCEL,2026-06-06T10:00:00.750Z
L-1004,T-4821,A-771,HDFCBANK,NSE,BUY,51000,1549.80,CANCEL,2026-06-06T10:00:00.830Z
L-1005,T-4821,A-771,HDFCBANK,NSE,BUY,53000,1549.70,CANCEL,2026-06-06T10:00:00.920Z
L-1006,T-4821,A-771,HDFCBANK,NSE,BUY,50000,1549.60,CANCEL,2026-06-06T10:00:01.010Z
L-1007,T-4821,A-771,HDFCBANK,NSE,BUY,54000,1549.50,CANCEL,2026-06-06T10:00:01.080Z
L-1008,T-4821,A-771,HDFCBANK,NSE,BUY,52000,1549.40,CANCEL,2026-06-06T10:00:01.160Z
L-1009,T-4821,A-771,HDFCBANK,NSE,BUY,51000,1549.30,CANCEL,2026-06-06T10:00:01.240Z
L-1010,T-4821,A-771,HDFCBANK,NSE,BUY,50500,1549.20,CANCEL,2026-06-06T10:00:01.310Z
E-2001,T-4821,A-771,HDFCBANK,NSE,SELL,10000,1551.20,EXECUTE,2026-06-06T10:00:01.400Z
E-2002,T-4821,A-771,HDFCBANK,NSE,SELL,12000,1551.35,EXECUTE,2026-06-06T10:00:01.650Z
W-3001,T-1029,A-317,RELIANCE,NSE,BUY,7000,2880.00,EXECUTE,2026-06-06T10:03:00.000Z
W-3002,T-1029,A-317,RELIANCE,NSE,SELL,7000,2880.10,EXECUTE,2026-06-06T10:03:16.000Z
W-3003,T-1029,A-317,RELIANCE,NSE,BUY,7200,2880.05,EXECUTE,2026-06-06T10:03:32.000Z
W-3004,T-1029,A-317,RELIANCE,NSE,SELL,7200,2880.15,EXECUTE,2026-06-06T10:03:49.000Z
W-3005,T-1029,A-317,RELIANCE,NSE,BUY,7100,2880.08,EXECUTE,2026-06-06T10:04:05.000Z
W-3006,T-1029,A-317,RELIANCE,NSE,SELL,7100,2880.20,EXECUTE,2026-06-06T10:04:22.000Z
N-4001,T-2201,A-555,INFY,NSE,BUY,1200,1480.00,NEW,2026-06-06T10:06:00.000Z
N-4001,T-2201,A-555,INFY,NSE,BUY,1200,1480.00,EXECUTE,2026-06-06T10:06:12.000Z
M-5001,T-7788,A-909,ICICIBANK,NSE,BUY,6500,930.00,EXECUTE,2026-06-06T10:08:00.000Z
M-5002,T-7788,A-909,ICICIBANK,NSE,BUY,7200,933.20,EXECUTE,2026-06-06T10:08:12.000Z
M-5003,T-7788,A-909,ICICIBANK,NSE,BUY,7600,937.10,EXECUTE,2026-06-06T10:08:25.000Z
M-5004,T-7788,A-909,ICICIBANK,NSE,BUY,8100,941.40,EXECUTE,2026-06-06T10:08:38.000Z
M-5005,T-7788,A-909,ICICIBANK,NSE,BUY,8500,946.80,EXECUTE,2026-06-06T10:08:52.000Z
M-5006,T-7788,A-909,ICICIBANK,NSE,BUY,9000,951.20,EXECUTE,2026-06-06T10:09:08.000Z
M-5007,T-7788,A-909,ICICIBANK,NSE,SELL,4200,952.00,EXECUTE,2026-06-06T10:09:35.000Z
